ARTYKU£;SWING;MODEL;NAZWA ARTYKU£U;LFB1;LFB3;LFB4;TRNS;suma
80343985;800292;004;FORSAND door 50x229 dark blue;0;266;0;0;266
60343986;800293;004;FORSAND door 50x229 dark blue AP CN;0;152;0;0;152
40343987;800292;006;FORSAND door 50x229 light blue;0;266;0;0;266
20343988;800293;006;FORSAND door 50x229 light blue AP CN;0;152;0;0;152
369696;800302;006;FORSAND door 50x229 light blue RU;0;380;0;0;380
60237354;800261;009;HASVIK N slid doors pair 150x201 white;0;190;0;0;190
30237355;800268;001;HASVIK N slid doors pair 150x201 white AP CN;0;530;0;0;530
10237356;800261;010;HASVIK N slid doors pair 150x236 white;0;950;0;0;950
90237357;800268;002;HASVIK N slid doors pair 150x236 white AP CN;0;180;0;0;180
70237358;800261;011;HASVIK N slid doors pair 200x201 white;0;24;0;0;24
50237359;800268;003;HASVIK N slid doors pair 200x201 white AP CN;0;6;0;0;6
30237360;800261;012;HASVIK N slid doors pair 200x236 white;0;342;0;0;342
10237361;800268;004;HASVIK N slid doors pair 200x236 white AP CN;6;264;0;0;270
20233490;800261;005;HASVIK sd pair 150x201 hg/wh;0;340;0;0;340
70233497;800261;006;HASVIK sd pair 150x236 hg/wh;0;140;0;0;140
40233502;800261;007;HASVIK sd pair 200x201 hg/wh;0;408;0;0;408
90233509;800261;008;HASVIK sd pair 200x236 hg/wh;0;66;0;0;66
40344010;800268;009;HASVIK slid doors pair 150x201 beige AP CN;0;120;0;0;120
30344001;800261;017;HASVIK slid doors pair 150x201 dark blue;0;90;0;0;90
10344002;800268;013;HASVIK slid doors pair 150x201 dark blue AP CN;0;130;0;0;130
20343993;800261;021;HASVIK slid doors pair 150x201 light blue;0;100;0;0;100
343994;800268;017;HASVIK slid doors pair 150x201 light blue AP CN;0;20;0;0;20
20344011;800261;014;HASVIK slid doors pair 150x236 beige;0;10;0;0;10
90344003;800261;018;HASVIK slid doors pair 150x236 dark blue;0;170;0;0;170
70344004;800268;014;HASVIK slid doors pair 150x236 dark blue AP CN;0;100;0;0;100
80233500;800268;006;HASVIK slid doors pair 150x236 hg-wh AP CN;0;30;0;0;30
70343995;800261;022;HASVIK slid doors pair 150x236 light blue;0;100;0;0;100
50343996;800268;018;HASVIK slid doors pair 150x236 light blue AP CN;0;160;0;0;160
80344013;800261;015;HASVIK slid doors pair 200x201 beige;0;108;0;0;108
40344005;800261;019;HASVIK slid doors pair 200x201 dark blue;0;96;0;0;96
20344006;800268;015;HASVIK slid doors pair 200x201 dark blue AP CN;0;150;0;0;150
233504;800268;007;HASVIK slid doors pair 200x201 hg-wh AP CN;0;42;0;0;42
30343997;800261;023;HASVIK slid doors pair 200x201 light blue;0;30;0;0;30
10343998;800268;019;HASVIK slid doors pair 200x201 light blue AP CN;0;66;0;0;66
10344016;800268;012;HASVIK slid doors pair 200x236 beige AP CN;0;18;0;0;18
344007;800261;020;HASVIK slid doors pair 200x236 dark blue;0;42;0;0;42
80344008;800268;016;HASVIK slid doors pair 200x236 dark blue AP CN;0;198;0;0;198
10233513;800268;008;HASVIK slid doors pair 200x236 hg-wh AP CN;0;72;0;0;72
90343999;800261;024;HASVIK slid doors pair 200x236 light blue;0;270;0;0;270
50344000;800268;020;HASVIK slid doors pair 200x236 light blue AP CN;0;24;0;0;24
20308225;800280;002;KALLAX desk 115x76 birch effect;0;11;0;0;11
308226;800280;003;KALLAX desk 115x76 black-brown;0;484;0;0;484
384871;800280;004;KALLAX desk 115x76 oak effect;0;1243;0;0;1243
30308220;800280;001;KALLAX desk 115x76 white;110;440;0;0;550
90309839;800276;005;KALLAX shelving unit 42x42 birch;0;1332;0;0;1332
70309840;800276;006;KALLAX shelving unit 42x42 black-brown;0;2304;0;0;2304
20301554;800276;004;KALLAX shelving unit 42x42 white;2808;6084;0;0;8892
80311871;800276;008;KALLAX shelving unit 77x42 birch effect;105;2247;0;0;2352
40311873;800276;009;KALLAX shelving unit 77x42 black-brown;0;3402;0;0;3402
90301555;800276;007;KALLAX shelving unit 77x42 white;2205;8274;0;2016;12495
50282177;800245;002;LACK N wll shlf 30x26 white;864;109512;0;0;110376
30282178;800246;002;LACK N wll shlf 30x26 white AP CN;108;6156;0;0;6264
70103622;800245;003;LACK NN wll shlf 30x26 black;216;18576;0;0;18792
70186194;800246;003;LACK NN wll shlf 30x26 black AP CN;108;2160;0;0;2268
60309652;800282;001;LACK wall shelf 59x26 high gloss;0;54;0;0;54
50324709;800245;004;LACK wll shlf 30x26 yellow;0;3780;0;0;3780
90324712;800246;004;LACK wll shlf 30x26 yellow AP CN;0;3672;0;0;3672
60361174;800230;005;LINNMON 100x60 black-brown AP;0;2160;0;0;2160
361756;800230;004;LINNMON 100x60 white AP;0;31131;0;0;31131
90361177;800231;018;LINNMON 120x60 black-brown AP;0;5481;0;0;5481
60353758;800056;015;LINNMON 120x60 geometric beige;0;5148;0;0;5148
40353759;800231;014;LINNMON 120x60 geometric beige AP;0;1092;0;0;1092
10355496;800299;001;LINNMON 120x60 geometric beige RU;0;234;0;0;234
20353755;800056;016;LINNMON 120x60 geometric blue;0;2808;0;0;2808
353756;800231;015;LINNMON 120x60 geometric blue AP;0;832;0;0;832
90355497;800299;002;LINNMON 120x60 geometric blue RU;0;26;0;0;26
50361179;800231;017;LINNMON 120x60 white AP;0;5238;0;0;5238
80353738;800056;017;LINNMON 120x60 white stained oak;0;15363;0;0;15363
60353739;800231;016;LINNMON 120x60 white stained oak AP;0;594;0;0;594
20361185;800232;013;LINNMON 150x75 black-brown AP;0;3406;0;0;3406
80361187;800232;012;LINNMON 150x75 white AP;0;1248;0;0;1248
20353741;800057;011;LINNMON 150x75 white stained oak;0;8268;0;0;8268
40353740;800232;011;LINNMON 150x75 white stained oak AP;0;598;0;0;598
60361188;800233;005;LINNMON 200x60 black-brown AP;0;338;0;0;338
40361189;800233;004;LINNMON 200x60 white AP;0;1404;0;0;1404
60251335;800269;002;LINNMON N cr tbl tp 120x120 black-brown;0;3013;0;0;3013
50251133;800269;001;LINNMON N cr tbl tp 120x120 white;0;2300;0;0;2300
251338;800055;003;LINNMON N tbl tp 100x60 black-brown;0;10503;0;0;10503
251135;800055;002;LINNMON N tbl tp 100x60 white;0;52488;0;0;52488
251343;800056;007;LINNMON N tbl tp 120x60 black-brown;0;12744;0;0;12744
70251349;800056;009;LINNMON N tbl tp 120x60 oak effect;0;3186;0;0;3186
60251137;800056;004;LINNMON N tbl tp 120x60 white;0;42417;0;0;42417
10251352;800057;006;LINNMON N tbl tp 150x75 black-brown;0;7358;0;0;7358
20251139;800057;003;LINNMON N tbl tp 150x75 white;0;25792;0;0;25792
80251358;800203;003;LINNMON N tbl tp 200x60 black-brown;0;2314;0;0;2314
80251141;800203;002;LINNMON N tbl tp 200x60 white;0;7202;0;0;7202
20251337;800057;008;LINNMON NN tbl tp 150x75 oak effect;0;2574;0;0;2574
40240239;800056;005;LINNMON tbl tp 120x60 grey;0;2916;0;0;2916
20240240;800231;004;LINNMON tbl tp 120x60 grey AP JP;0;216;0;0;216
20296133;800056;012;LINNMON tbl tp 120x60 white/green;0;27;0;0;27
240241;800057;004;LINNMON tbl tp 150x75 grey;0;26;0;0;26
90289940;800271;002;MALM headboard 140 white;0;230;0;0;230
70289941;800271;003;MALM headboard 160 white;0;160;0;0;160
50289942;800271;001;MALM headboard 90 white;0;340;0;0;340
10344511;800297;013;MARNARDAL door 50x195 flower patterned;0;456;0;0;456
346780;800298;013;MARNARDAL door 50x195 flower patterned AP JP;0;38;0;0;38
50344509;800297;005;MARNARDAL door 50x195 net pattern white/beige;0;418;0;0;418
40346778;800298;005;MARNARDAL door 50x195 net pattern white/beige AP JP;0;38;0;0;38
50344514;800297;007;MARNARDAL door 50x195 net pattern white/light blue;0;152;0;0;152
50346787;800298;007;MARNARDAL door 50x195 net pattern white/light blue AP JP;0;304;0;0;304
70344513;800297;009;MARNARDAL door 50x195 patterned dark blue/white;0;418;0;0;418
20346784;800298;009;MARNARDAL door 50x195 patterned dark blue/white AP JP;0;38;0;0;38
20344515;800297;011;MARNARDAL door 50x195 patterned white/beige;0;152;0;0;152
90346790;800298;011;MARNARDAL door 50x195 patterned white/beige AP JP;0;304;0;0;304
90344512;800297;003;MARNARDAL door 50x195 striped beige/white;0;342;0;0;342
60346782;800298;003;MARNARDAL door 50x195 striped beige/white AP JP;0;152;0;0;152
70344301;800297;001;MARNARDAL door 50x195 striped white/beige;0;190;0;0;190
346775;800298;001;MARNARDAL door 50x195 striped white/beige AP JP;0;76;0;0;76
20344520;800297;014;MARNARDAL door 50x229 flower patterned;0;190;0;0;190
80346781;800298;014;MARNARDAL door 50x229 flower patterned AP JP;0;76;0;0;76
60344518;800297;006;MARNARDAL door 50x229 net pattern white/beige;0;266;0;0;266
20346779;800298;006;MARNARDAL door 50x229 net pattern white/beige AP JP;0;190;0;0;190
60344523;800297;008;MARNARDAL door 50x229 net pattern white/light blue;0;266;0;0;266
80344522;800297;010;MARNARDAL door 50x229 patterned dark blue/white;0;228;0;0;228
90346785;800298;010;MARNARDAL door 50x229 patterned dark blue/white AP JP;0;38;0;0;38
70346791;800298;012;MARNARDAL door 50x229 patterned white/beige AP JP;0;456;0;0;456
344521;800297;004;MARNARDAL door 50x229 striped beige/white;0;38;0;0;38
40346783;800298;004;MARNARDAL door 50x229 striped beige/white AP JP;0;190;0;0;190
80344517;800297;002;MARNARDAL door 50x229 striped white/beige;0;380;0;0;380
80346776;800298;002;MARNARDAL door 50x229 striped white/beige AP JP;0;152;0;0;152
60344716;800294;009;SVORKMO slid doors pair 150x201 net pattern white/beige;0;520;0;0;520
60346800;800295;009;SVORKMO slid doors pair 150x201 net pattern white/beige AP JP;0;50;0;0;50
20344718;800294;017;SVORKMO slid doors pair 150x201 net pattern white/light blue;0;350;0;0;350
40344717;800294;013;SVORKMO slid doors pair 150x201 net pattern white/orange;0;260;0;0;260
50346805;800295;013;SVORKMO slid doors pair 150x201 net pattern white/orange AP JP;0;200;0;0;200
80344720;800294;025;SVORKMO slid doors pair 150x201 patterned beige/white;0;180;0;0;180
80346818;800295;025;SVORKMO slid doors pair 150x201 patterned beige/white AP JP;0;280;0;0;280
344719;800294;021;SVORKMO slid doors pair 150x201 patterned dark blue/white;0;160;0;0;160
70346814;800295;021;SVORKMO slid doors pair 150x201 patterned dark blue/white AP JP;0;130;0;0;130
60344721;800294;005;SVORKMO slid doors pair 150x201 striped beige/white;0;70;0;0;70
60346796;800295;005;SVORKMO slid doors pair 150x201 striped beige/white AP JP;0;100;0;0;100
40344722;800294;001;SVORKMO slid doors pair 150x201 striped white/beige;0;110;0;0;110
50346792;800295;001;SVORKMO slid doors pair 150x201 striped white/beige AP JP;0;150;0;0;150
20344723;800294;010;SVORKMO slid doors pair 150x236 net pattern white/beige;0;30;0;0;30
70344725;800294;018;SVORKMO slid doors pair 150x236 net pattern white/light blue;0;370;0;0;370
344724;800294;014;SVORKMO slid doors pair 150x236 net pattern white/orange;0;80;0;0;80
10346807;800295;014;SVORKMO slid doors pair 150x236 net pattern white/orange AP JP;0;130;0;0;130
30344727;800294;026;SVORKMO slid doors pair 150x236 patterned beige/white;0;160;0;0;160
40346820;800295;026;SVORKMO slid doors pair 150x236 patterned beige/white AP JP;0;100;0;0;100
50344726;800294;022;SVORKMO slid doors pair 150x236 patterned dark blue/white;0;390;0;0;390
20346816;800295;022;SVORKMO slid doors pair 150x236 patterned dark blue/white AP JP;0;190;0;0;190
40344699;800294;006;SVORKMO slid doors pair 150x236 striped beige/white;0;110;0;0;110
20346798;800295;006;SVORKMO slid doors pair 150x236 striped beige/white AP JP;0;80;0;0;80
10346794;800295;002;SVORKMO slid doors pair 150x236 striped white/beige AP JP;0;150;0;0;150
80344701;800294;011;SVORKMO slid doors pair 200x201 net pattern white/beige;0;132;0;0;132
80344777;800294;019;SVORKMO slid doors pair 200x201 net pattern white/light blue;0;36;0;0;36
50346810;800295;019;SVORKMO slid doors pair 200x201 net pattern white/light blue AP JP;0;60;0;0;60
60344702;800294;015;SVORKMO slid doors pair 200x201 net pattern white/orange;0;96;0;0;96
90344705;800294;027;SVORKMO slid doors pair 200x201 patterned beige/white;0;162;0;0;162
60346819;800295;027;SVORKMO slid doors pair 200x201 patterned beige/white AP JP;0;132;0;0;132
20344704;800294;023;SVORKMO slid doors pair 200x201 patterned dark blue/white;0;144;0;0;144
40346815;800295;023;SVORKMO slid doors pair 200x201 patterned dark blue/white AP JP;0;174;0;0;174
80344715;800294;007;SVORKMO slid doors pair 200x201 striped beige/white;0;6;0;0;6
40346797;800295;007;SVORKMO slid doors pair 200x201 striped beige/white AP JP;0;150;0;0;150
10344714;800294;003;SVORKMO slid doors pair 200x201 striped white/beige;0;12;0;0;12
30346793;800295;003;SVORKMO slid doors pair 200x201 striped white/beige AP JP;0;60;0;0;60
70344730;800294;012;SVORKMO slid doors pair 200x236 net pattern white/beige;0;114;0;0;114
80346804;800295;012;SVORKMO slid doors pair 200x236 net pattern white/beige AP JP;0;6;0;0;6
30344732;800294;020;SVORKMO slid doors pair 200x236 net pattern white/light blue;0;78;0;0;78
50344731;800294;016;SVORKMO slid doors pair 200x236 net pattern white/orange;0;150;0;0;150
90346808;800295;016;SVORKMO slid doors pair 200x236 net pattern white/orange AP JP;0;72;0;0;72
90344734;800294;028;SVORKMO slid doors pair 200x236 patterned beige/white;0;126;0;0;126
20346821;800295;028;SVORKMO slid doors pair 200x236 patterned beige/white AP JP;0;84;0;0;84
10344733;800294;024;SVORKMO slid doors pair 200x236 patterned dark blue/white;0;252;0;0;252
346817;800295;024;SVORKMO slid doors pair 200x236 patterned dark blue/white AP JP;0;222;0;0;222
90344729;800294;008;SVORKMO slid doors pair 200x236 striped beige/white;0;6;0;0;6
346799;800295;008;SVORKMO slid doors pair 200x236 striped beige/white AP JP;0;300;0;0;300
10344728;800294;004;SVORKMO slid doors pair 200x236 striped white/beige;0;168;0;0;168
80346795;800295;004;SVORKMO slid doors pair 200x236 striped white/beige AP JP;0;138;0;0;138
80301532;800277;001;TORESUND bar table 70x140 white/high-gloss;0;880;0;0;880
80256695;800262;001;TORESUND dining tbl 180x90 white high-gloss;0;528;0;0;528
70297917;800262;002;TORESUND table 135x90 white high-gloss;0;128;0;0;128
10117556;800211;002;UTBY tbl tp 120x60 brown-black;0;1150;0;0;1150
80162102;800229;002;UTBY tbl tp 120x60 brown-black AP JP;0;50;0;0;50
